,name,size,age,bounty,job,crew.roman_name,fruit.type,fruit.roman_name
619,Ichiji Vinsmoke,186.0,21,0.0,Prince,Don't have,Don't have,Don't have
620,Niji Vinsmoke,185.0,21,0.0,Prince,Don't have,Don't have,Don't have
621,Yonji Vinsmoke,194.0,21,0.0,Prince,Don't have,Don't have,Don't have
622,Marco,203.0,45,1374000000.0,Sphinx (doctor) / Command 1st Whitebeard Fleet,Don't have,Zoan Mythique,Tori Tori no Mi
623,Gan Forr,180.0,68,0.0,God,Don't have,Don't have,Don't have
625,Conis,176.0,21,0.0,Resident,Don't have,Don't have,Don't have
626,Pagaya,179.0,54,0.0,Resident,Don't have,Don't have,Don't have
627,Amazon,120.0,79,0.0,Resident,Don't have,Don't have,Don't have
628,Chef Shandia,179.0,65,0.0,Resident / Shandia tribe (chief),Don't have,Don't have,Don't have
629,Wiper,183.0,24,0.0,Divine Guard / Shandia Tribe,Don't have,Don't have,Don't have
630,Kamakiri,214.0,24,0.0,Divine Guard / Shandia Tribe,Don't have,Don't have,Don't have
631,Braham,179.0,24,0.0,Divine Guard / Shandia Tribe,Don't have,Don't have,Don't have
632,Genbo,193.0,25,0.0,Divine Guard / Shandia Tribe,Don't have,Don't have,Don't have
633,Laki,179.0,22,0.0,Resident / Shandia tribe,Don't have,Don't have,Don't have
634,Aisa,140.0,11,0.0,Resident / Shandia tribe,Don't have,Don't have,Don't have
635,Nora,20000.0,400,0.0,Resident / Shandia tribe,Don't have,Don't have,Don't have
636,Calgara,222.0,39,0.0,Shandia tribe,Don't have,Don't have,Don't have
637,Om,189.0,29,0.0,Skypiea (exiled) / Clan Ener (Prelate of the Iron ordalia),Don't have,Don't have,Don't have
638,Satori,179.0,27,0.0,Skypiea (exiled) / Clan Ener (Prelate of the Balloon Ordinary),Don't have,Don't have,Don't have
639,Shura,191.0,33,0.0,Skypiea (exiled) / Clan Ener (Prelate of the ordination of sons),Don't have,Don't have,Don't have
640,Yama,366.0,45,0.0,Skypiea (exile) / Clan Ener (captain of the sacred guard),Don't have,Don't have,Don't have
641,Hotori,179.0,27,0.0,Skypiea (exiled) / Clan Ener (vice captain of the sacred guard),Don't have,Don't have,Don't have
642,Kotori,179.0,27,0.0,Skypiea (exiled) / Clan Ener (vice captain of the sacred guard),Don't have,Don't have,Don't have
643,Haredas,253.0,97,0.0,Resident,Don't have,Don't have,Don't have
644,Neptune,1220.0,70,0.0,Monarch,Don't have,Don't have,Don't have
645,Otohime,224.0,36,0.0,Queen,Don't have,Don't have,Don't have
646,Fukaboshi,604.0,24,0.0,Prince,Don't have,Don't have,Don't have
647,Ryuboshi,544.0,23,0.0,Prince,Don't have,Don't have,Don't have
648,Mamboshi,473.0,20,0.0,Prince,Don't have,Don't have,Don't have
649,Shirahoshi,1187.0,16,0.0,Princess,Don't have,Don't have,Don't have
652,Ministre Sénestre,435.0,62,0.0,Minister Sénestre,Don't have,Don't have,Don't have
653,Ministre Dextre,313.0,55,0.0,Minister Dextre,Don't have,Don't have,Don't have
654,Shyarly,520.0,29,0.0,Owner Café des Sirènes,Don't have,Don't have,Don't have
655,Keimi,167.0,18,0.0,Café des Sirènes employee,Don't have,Don't have,Don't have
656,Pappag,50.0,33,0.0,"Founder / Designer of the ""Criminal"" brand",Don't have,Don't have,Don't have
657,Octy,220.0,38,8000000.0,Takoyaki merchant,Don't have,Don't have,Don't have
658,Den,435.0,62,0.0,Carpenter,Don't have,Don't have,Don't have
659,Ener,266.0,39,0.0,Manager,Don't have,Logia,Goro Goro no Mi
660,Monkey D. Dragon,256.0,55,0.0,Commander-in-Chief,Don't have,Don't have,Don't have
661,Sabo,187.0,22,602000000.0,Chief of Staff,Don't have,Logia,Mera Mera no Mi
662,Emporio Ivankov,449.0,53,100000000.0,Command of troop G,Don't have,Paramecia,Horu Horu no Mi
663,Corbeau,265.0,47,400000000.0,"Commander of the ""Septentrionale"" troop",Don't have,Don't have,Don't have
664,Belo Betty,196.0,34,457000000.0,"Commander of the ""Oriental"" troop",Don't have,Paramecia,Kubu Kobu no Mi
665,Morley,1253.0,160,293000000.0,"Western"" troop commander",Don't have,Paramecia,Oshi Oshi no Mi
666,Lindbergh,149.0,37,316000000.0,"Commander of the ""southern"" troop",Don't have,Don't have,Don't have
667,Inazuma,228.0,29,100000000.0,"Sub-Commander of ""G"" Troop",Don't have,Paramecia,Choki Choki no Mi
669,Koala,160.0,23,0.0,Lieutenant,Don't have,Don't have,Don't have
670,Hack,280.0,38,0.0,Private,Don't have,Don't have,Don't have
671,Zala,187.0,28,35000000.0,Special Agent,Don't have,Paramecia,Toge Toge no Mi
672,Bentham,238.0,32,32000000.0,Special Agent,Don't have,Paramecia,Mane Mane no Mi
673,Marianne,145.0,18,29000000.0,Special Agent,Don't have,Don't have,Don't have
674,Babe,218.0,30,3200000.0,Special Agent,Don't have,Don't have,Don't have
676,Drophy,156.0,51,14000000.0,Special Agent,Don't have,Zoan,Mogu Mogu no Mi
677,Gemme,197.0,26,10000000.0,Special Agent,Don't have,Paramecia,Bomu Bomu no Mi
678,Mikita,177.0,24,7500000.0,Special Agent,Don't have,Paramecia,Kilo Kilo no Mi
679,Jabura,212.0,37,0.0,Cipher Pol n°9,Don't have,Zoan,Inu Inu no Mi moderu: Ōkami
680,Blueno,258.0,32,0.0,Cipher Pol n°9,Don't have,Paramecia,Doa Doa no Mi
681,Kumadori,338.0,36,0.0,Cipher Pol n°9,Don't have,Don't have,Don't have
682,Fukuro,331.0,31,0.0,Cipher Pol n°9,Don't have,Don't have,Don't have
683,Kalifa,185.0,27,0.0,Cipher Pol n°9,Don't have,Paramecia,Awa Awa no Mi
684,Nero,202.0,22,0.0,Cipher Pol n°9,Don't have,Don't have,Don't have
685,Spandine,275.0,66,0.0,Cipher Pol n°9,Don't have,Don't have,Don't have
686,Kuzan / Aokiji,298.0,49,0.0,Admiral,Don't have,Logia,Hie Hie no Mi
687,Morgan,285.0,44,0.0,Colonel,Don't have,Don't have,Don't have
688,Bellamy,240.0,27,195000000.0,Private,Donkihōte Kaizokudan,Paramecia,Bane Bane no Mi
689,Bartholomew Kuma,689.0,47,296000000.0,Lieutenant,Don't have,Paramecia,Nikyu Nikyu no Mi
690,César Clown,309.0,40,300000000.0,,Don't have,Logia,Gasu Gasu no Mi
691,Morgans,305.0,53,0.0,World Economic Journal (boss),Don't have,Zoan,Tori Tori no Mi Moderu Arubatorosu
734,Zéphyr,348.0,72,0.0,Chef,Don't have,Don't have,Don't have
753,Orlombus,480.0,42,148000000.0,Admiral,Yonta Maria Dai-senda,Don't have,Don't have
